deviceID,sessionID,time,lat,long,sessionStart,sessionEnd,gapStart,gapEnd,timeDiff,x,y,distDiff
,0017f6bb4c9747369843223faf23673e,2016-09-11 23:42:22,-35.03877,150.66835,True,False,,,,3017124.8892941056,2702226.3419914073,
,0017f6bb4c9747369843223faf23673e,2016-09-11 23:42:27,-35.03895,150.6683,False,False,,,0.08333333333333333,3017119.1443691817,2702206.6710100933,20.4927223237
,0017f6bb4c9747369843223faf23673e,2016-09-11 23:42:32,-35.03895,150.6683,False,False,,,0.08333333333333333,3017119.1443691817,2702206.6710100933,0.0
,0017f6bb4c9747369843223faf23673e,2016-09-11 23:42:37,-35.038940000000004,150.6683,False,False,,,0.08333333333333333,3017119.2104138993,2702207.7789311204,1.10988779029
,0017f6bb4c9747369843223faf23673e,2016-09-11 23:42:42,-35.038940000000004,150.6683,False,False,,,0.08333333333333333,3017119.2104138993,2702207.7789311204,0.0
,0017f6bb4c9747369843223faf23673e,2016-09-11 23:42:47,-35.038940000000004,150.6683,False,False,,,0.08333333333333333,3017119.2104138993,2702207.7789311204,0.0
,0017f6bb4c9747369843223faf23673e,2016-09-11 23:42:52,-35.038940000000004,150.6683,False,False,,,0.08333333333333333,3017119.2104138993,2702207.7789311204,0.0
,0017f6bb4c9747369843223faf23673e,2016-09-11 23:42:57,-35.038940000000004,150.6683,False,False,,,0.08333333333333333,3017119.2104138993,2702207.7789311204,0.0
,0017f6bb4c9747369843223faf23673e,2016-09-11 23:43:02,-35.038940000000004,150.6683,False,False,,,0.08333333333333333,3017119.2104138993,2702207.7789311204,0.0
,0017f6bb4c9747369843223faf23673e,2016-09-11 23:43:07,-35.038940000000004,150.6683,False,False,,,0.08333333333333333,3017119.2104138993,2702207.7789311204,0.0
,0017f6bb4c9747369843223faf23673e,2016-09-11 23:43:12,-35.038940000000004,150.6683,False,False,,,0.08333333333333333,3017119.2104138993,2702207.7789311204,0.0
,0017f6bb4c9747369843223faf23673e,2016-09-11 23:43:17,-35.038940000000004,150.6683,False,False,,,0.08333333333333333,3017119.2104138993,2702207.7789311204,0.0
,0017f6bb4c9747369843223faf23673e,2016-09-11 23:43:22,-35.038940000000004,150.6683,False,False,,,0.08333333333333333,3017119.2104138993,2702207.7789311204,0.0
,0017f6bb4c9747369843223faf23673e,2016-09-11 23:43:27,-35.038940000000004,150.6683,False,False,,,0.08333333333333333,3017119.2104138993,2702207.7789311204,0.0
,0017f6bb4c9747369843223faf23673e,2016-09-11 23:43:32,-35.038940000000004,150.6683,False,False,,,0.08333333333333333,3017119.2104138993,2702207.7789311204,0.0
