,deviceID,sessionID,sessionStartTime,sessionEndTime,numberOf10sGaps,numberOf1minGaps,numberOf3minGaps,distBf,distGap,distAf,timeBf,timeGap,timeAf,sessionStartX,sessionStartY,sessionEndX,sessionEndY,totalDist,category
0,,06da13507bfe435f9718eeb1ba106449,2016-09-11 00:00:03,2016-09-11 23:59:55,7,3,1,112460.16955422924,78622.7232224,25183.19807582641,691.3,117.83333333333333,630.7333333333333,3037037.5504138037,3636492.019730082,3046259.5801318185,3620035.5332913008,718182.0760450261,MMM
1,,17cda7e8074041378c32c50b3f42fc4a,2016-09-11 00:00:00,2016-09-11 00:52:31,2,2,1,7873.31520827948,4578.92435562,37124.2308376773,5.433333333333334,3.1166666666666667,43.96666666666667,3267854.0623374633,3479406.471058478,3297242.8046118557,3517895.0833338103,61719.97708156468,MMM
2,,1f1c67873cea406e8a9a397b327ae535,2016-09-11 22:25:05,2016-09-11 23:16:08,7,4,1,16.84164852201333,38.0724739075,12460.995485543302,6.5,4.95,39.6,3316339.594734445,3526386.701819667,3326512.0265337457,3519231.0681598317,17511.12035904799,NNM
3,,21c38761ad2b4e50aec9d4c5dc106638,2016-09-11 12:00:13,2016-09-11 14:20:18,10,10,1,28461.852763982966,10255.6313205,144714.45539484493,18.716666666666665,6.333333333333333,115.03333333333333,3114061.4447277393,3489594.8497119695,2938296.4530241173,3437475.613780608,217915.96758967577,MMM
4,,2488cfdbe4c742ee8900146e97004d7e,2016-09-11 01:39:36,2016-09-11 09:28:30,5,1,1,44919.16886715224,44265.3804513,102348.03286392325,162.38333333333333,202.58333333333334,103.93333333333334,3028136.5679613305,2797184.5187020805,3008531.0516551957,2697514.5430140207,254533.68328672845,MMM
5,,2d9d09daa1aa40cebcec49d66e1c4a09,2016-09-11 22:41:29,2016-09-11 23:43:49,2,1,1,9169.227933131675,6.25131079219,6430.735601021011,31.75,19.6,10.983333333333333,2510198.232321208,2409961.0168210976,2515130.609947109,2412218.8064965494,23703.63196384368,MNM
6,,2dfdf169dae8438598111dbfed43dbbc,2016-09-11 06:38:21,2016-09-11 07:54:52,1,1,1,3.818650175070565,13.7820771157,16.68398575038135,43.75,31.933333333333334,0.8333333333333334,1913859.7362900237,2703618.976521409,1913859.8859134368,2703616.761744266,70.433901145135,NNN
7,,342bde180f3f44d5a475543f601d7da1,2016-09-11 03:37:36,2016-09-11 04:23:50,3,2,1,3553.696405329893,4346.21394279,34664.06450713546,7.783333333333333,3.1333333333333333,35.31666666666667,3014140.6710218936,2808493.4315504874,3053986.8683951804,2819586.1237155492,54229.57070444991,MMM
8,,3ae621638de841b485436dc308595f22,2016-09-11 00:49:12,2016-09-11 01:51:49,3,2,1,1119.2083298776001,82.309790514,14552.22625735668,3.75,11.833333333333334,47.03333333333333,2442479.472002326,2377278.8202261236,2452447.9848456914,2366515.0516416025,24961.10117218071,MNM
9,,3b535b3396794e6b8a31398f61c2f650,2016-09-11 03:02:20,2016-09-11 04:11:02,1,1,1,1016.8808685733508,10526.5604827,47681.57403342618,3.9166666666666665,8.533333333333333,56.25,-231346.5394532797,2646348.2289851066,-196292.06040983787,2600693.8321319507,71309.18771285823,MMM
10,,3dc2f7c94bd141089e189988eb41bcc9,2016-09-11 10:03:15,2016-09-11 10:28:35,1,1,1,13924.448089328265,10451.3430821,1083.4217020742722,12.8,11.783333333333333,0.75,2543823.196104555,2479764.42137191,2519803.834966492,2474912.417275347,27964.251318740735,MMM
11,,3fedd0690e6e498c9a610f173d34c40d,2016-09-11 03:03:05,2016-09-11 05:48:10,1,1,1,581.2558625673238,10176.847114,6540.28963053995,0.75,158.58333333333334,5.75,3304050.207077906,3536006.033489745,3303649.920763202,3530701.5757860644,17715.80091951705,MMM
12,,421a36572b5b4c62992bec86c55d728d,2016-09-11 00:45:21,2016-09-11 01:05:18,3,1,1,5017.284801362483,27210.5384232,1508.4576502791542,3.033333333333333,16.083333333333332,0.8333333333333334,2887421.222938316,2693105.858389365,2904197.789173834,2720554.424939778,33973.01934174599,MMM
13,,550f2b53dfa94694989168c982ea3366,2016-09-11 09:02:03,2016-09-11 09:54:54,5,4,1,55395.200146445444,5524.67420993,10454.602468411913,42.53333333333333,3.566666666666667,6.75,2616146.9876623703,2486951.404993639,2552975.8232227513,2485625.405478059,79845.08793142895,MMM
14,,55536be02bad427ea7f1715dd2b3eff2,2016-09-11 20:16:14,2016-09-11 23:10:04,7,6,1,8942.90470793405,2911.41200518,71553.18305334868,102.76666666666667,3.466666666666667,67.6,2945776.7807499785,3461860.401185201,3024820.0564047955,3439589.0514635807,113083.9064260556,MMM
