sessionID,time,x,y
s82,2016-09-11 23:42:22,517124.8892941056,202226.3419914078
s82,2016-09-11 23:42:27,517119.1443691817,202206.6710100933
s82,2016-09-11 23:42:32,517119.1443691817,202206.6710100933
s82,2016-09-11 23:42:37,517119.21041389974,202207.7789311204
s82,2016-09-11 23:42:42,517119.21041389974,202207.7789311204
s82,2016-09-11 23:42:47,517119.21041389974,202207.7789311204
s82,2016-09-11 23:42:52,517119.21041389974,202207.7789311204
s82,2016-09-11 23:42:57,517119.21041389974,202207.7789311204
s82,2016-09-11 23:43:02,517119.21041389974,202207.7789311204
s82,2016-09-11 23:43:07,517119.21041389974,202207.7789311204
s82,2016-09-11 23:43:12,517119.21041389974,202207.7789311204
s82,2016-09-11 23:43:17,517119.21041389974,202207.7789311204
s82,2016-09-11 23:43:22,517119.21041389974,202207.7789311204
s82,2016-09-11 23:43:27,517119.21041389974,202207.7789311204
s82,2016-09-11 23:43:32,517119.21041389974,202207.7789311204
s82,2016-09-11 23:43:37,517119.21041389974,202207.7789311204
s82,2016-09-11 23:43:42,517119.21041389974,202207.7789311204
s82,2016-09-11 23:43:47,517119.21041389974,202207.7789311204
s82,2016-09-11 23:43:52,517119.21041389974,202207.7789311204
s82,2016-09-11 23:43:57,517119.21041389974,202207.7789311204
s82,2016-09-11 23:44:02,517119.21041389974,202207.7789311204
s82,2016-09-11 23:44:07,517119.21041389974,202207.7789311204
s06,2016-09-11 06:53:13,813093.006897294,927907.1408251841
s06,2016-09-11 06:53:18,813093.006897294,927907.1408251841
s06,2016-09-11 06:53:24,813093.006897294,927907.1408251841
s06,2016-09-11 06:53:29,813093.006897294,927907.1408251841
s06,2016-09-11 06:53:34,813093.006897294,927907.1408251841
s06,2016-09-11 06:53:39,813093.006897294,927907.1408251841
s06,2016-09-11 06:53:44,813093.006897294,927907.1408251841
s06,2016-09-11 06:53:49,813093.006897294,927907.1408251841
s06,2016-09-11 06:54:43,813523.9835605663,928150.9848388289
s06,2016-09-11 06:54:48,813556.1082011801,928234.7934780042
s06,2016-09-11 06:54:53,813570.7481902065,928323.4889654657
s06,2016-09-11 06:54:58,813568.815507269,928404.6225670641
s06,2016-09-11 06:55:03,813582.779464473,928485.5051341979
s06,2016-09-11 06:55:08,813602.7652708031,928566.9912315202
s06,2016-09-11 06:55:13,813589.7764805336,928646.832989214
s06,2016-09-11 06:55:18,813547.4726698427,928721.3398755062
s06,2016-09-11 06:55:23,813508.5170905208,928800.055060029
s06,2016-09-11 06:55:28,813484.062581629,928885.3872230919
s06,2016-09-11 06:55:33,813479.2621926866,928967.8943150998
s06,2016-09-11 06:55:54,813641.2400893173,929253.0080390442
s06,2016-09-11 06:55:59,813704.7995951292,929320.6034527514
s06,2016-09-11 06:56:04,813762.9604015043,929371.7975257449
s06,2016-09-11 06:56:09,813817.2679949971,929424.449444985
s06,2016-09-11 06:56:14,813875.6446541562,929466.6278882502
s06,2016-09-11 06:56:19,813947.365350069,929502.028056649
s06,2016-09-11 06:56:24,814019.3765189829,929540.7763097906
s06,2016-09-11 06:56:29,814098.4949758397,929581.1578533119
s06,2016-09-11 06:56:34,814162.7996674031,929622.8216098859
s06,2016-09-11 06:56:39,814228.3825506894,929667.7480454091
s06,2016-09-11 06:58:04,814347.6049312851,930550.3406531462
s06,2016-09-11 06:58:09,814348.8826656202,930553.6037727338
s06,2016-09-11 06:58:14,814351.2027126281,930580.3930637301
s06,2016-09-11 06:58:19,814358.5160152595,930630.366400389
s06,2016-09-11 06:58:24,814386.7442596471,930692.0235910034
s06,2016-09-11 06:58:29,814423.5515431594,930760.809972072
s06,2016-09-11 06:58:34,814460.5526516568,930831.828773329
s06,2016-09-11 06:58:39,814494.9776762337,930907.5691273008
s06,2016-09-11 06:58:44,814495.6254772777,930983.986002746
s06,2016-09-11 06:58:49,814517.7143444763,931055.1720484542
s06,2016-09-11 06:58:54,814594.0010308558,931085.676044777
s06,2016-09-11 06:58:59,814677.8037354122,931111.0299278656
s06,2016-09-11 06:59:04,814753.3177714851,931132.6028331108
s06,2016-09-11 06:59:09,814824.8398343483,931177.0133182826
s06,2016-09-11 06:59:14,814889.157803521,931218.6738047185
s06,2016-09-11 06:59:19,814963.6091858004,931227.9665407762
s06,2016-09-11 06:59:24,815045.016061034,931214.1635533557
s06,2016-09-11 07:00:00,815661.5940788183,931162.9527105577
s06,2016-09-11 07:00:05,815746.951055645,931148.8009317275
s06,2016-09-11 07:00:10,815828.8214669349,931151.820197375
s06,2016-09-11 07:00:15,815907.9223099714,931157.3283107579
s06,2016-09-11 07:00:20,815993.0469157081,931163.4377045166
s06,2016-09-11 07:00:25,816066.221305849,931169.4587724837
s06,2016-09-11 07:00:30,816142.3401753008,931186.4700241499
s06,2016-09-11 07:00:35,816210.6728366064,931194.034843679
s06,2016-09-11 07:00:40,816270.1910466538,931157.3790998785
s06,2016-09-11 07:00:45,816303.5983486366,931083.6275836043
s06,2016-09-11 07:00:50,816294.5494744107,931002.3152978797
s06,2016-09-11 07:00:55,816309.4977546446,930922.293897388
s06,2016-09-11 07:01:00,816348.4238671358,930854.8111111745
s06,2016-09-11 07:01:05,816387.3306849985,930798.5761008947
s06,2016-09-11 07:01:10,816455.8136790828,930773.5116952187
s06,2016-09-11 07:01:15,816537.0815856112,930781.0753221423
s06,2016-09-11 07:01:20,816601.6964356154,930826.0724683143
s06,2016-09-11 07:01:25,816663.8700485267,930854.4118791674
s06,2016-09-11 07:01:30,816739.4245615168,930853.4730366026
s06,2016-09-11 07:01:35,816826.1716978583,930832.4426636249
s06,2016-09-11 07:01:40,816907.2828816362,930815.2749699522
s06,2016-09-11 07:01:45,816973.0816163057,930862.4162410549
s06,2016-09-11 07:01:50,817039.1719540032,930912.9057328841
s06,2016-09-11 07:01:55,817108.7112597115,930968.718375376
s06,2016-09-11 07:02:00,817177.0437552677,930976.2761335452
s06,2016-09-11 07:02:05,817228.7875615172,930918.9215189982
s06,2016-09-11 07:02:10,817297.481436192,930884.8354209512
s06,2016-09-11 07:02:15,817370.4613632746,930888.6138869389
s06,2016-09-11 07:02:20,817437.6467595445,930871.527396936
s06,2016-09-11 07:02:25,817515.3265179675,930837.7831357028
s06,2016-09-11 07:02:30,817591.9834771119,930826.6198926177
s06,2016-09-11 07:02:35,817659.3905714536,930857.8719790736
s06,2016-09-11 07:02:40,817741.4033589168,930896.8506683507
s06,2016-09-11 07:02:45,817831.2729349965,930900.2815032201
s06,2016-09-11 07:02:50,817913.2574252845,930893.1508979569
s06,2016-09-11 07:02:55,817986.968172472,930870.994266205
s06,2016-09-11 07:03:00,818044.971560969,930851.3281370541
s06,2016-09-11 07:03:05,818102.375413002,930836.2123748427
s06,2016-09-11 07:03:10,818172.7810181258,930844.7072100453
s06,2016-09-11 07:03:15,818245.6479429426,930858.6106008282
s06,2016-09-11 07:03:20,818317.8187659774,930875.9479799746
s06,2016-09-11 07:03:25,818396.2242418667,930884.869691561
s06,2016-09-11 07:03:30,818478.6781308888,930894.5630518617
s06,2016-09-11 07:03:35,818560.322666856,930917.8219941682
s06,2016-09-11 07:03:40,818637.9194032163,930940.3080193559
s06,2016-09-11 07:03:45,818714.0907727452,930923.5546380118
s06,2016-09-11 07:03:50,818772.4484874085,930862.2408633013
s06,2016-09-11 07:03:55,818828.4411300062,930796.6340602865
s06,2016-09-11 07:04:00,818902.2782072783,930753.0906509915
s06,2016-09-11 07:04:05,818979.015412299,930754.280181699
s06,2016-09-11 07:04:10,819040.5825814991,930798.4026639806
s06,2016-09-11 07:04:15,819078.0903425524,930886.2328721299
s06,2016-09-11 07:04:20,819111.954770593,930966.5078957714
s06,2016-09-11 07:04:25,819165.4935030127,931032.697868858
s06,2016-09-11 07:04:30,819215.5833822619,931093.564835168
